0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
2.04e-05,2.04e-05,2.04e-05,2.04e-05,0.000170809,9.95e-05,0.000225406,0.000408704,0.000248565,0.000144755,0.000537789,0.000580918,0.000321613,0.000157836,0.000227072,0.000146848,0.000201334,0.000105638,0.0001542,0.00014783,9.03e-05,9.48e-05,0.000101071,8.35e-05,0.0001045,0.000270151,0.00015623,0.000202583,0.000139426,0.000448298,0.000105502,0.000442128,7.1e-05,9.35e-05,0.000137678,0.000139413,0.00012825,6.76e-05,0.000226893,0.000200262,0.000285125,0.000262752,0.000154573,0.000249204,4.55e-05,0.000191494,0.000163526,7.98e-05,0.000292775,0.000209159,0.000187211,0.000157218
2.3e-05,2.3e-05,2.3e-05,2.3e-05,0.000174984,9.86e-05,0.000158073,0.000354809,0.000172853,0.000111759,0.000387866,0.000424351,0.000232404,0.000121015,0.000186694,0.000171989,0.000237027,0.000117686,0.000192649,0.000140903,0.000112308,0.000134743,0.000150328,0.000164787,0.000128783,0.000247893,0.000216069,0.000221363,0.000165592,0.000338843,9.69e-05,0.000277632,8.23e-05,0.000117369,0.00013431,0.000183447,0.000154208,0.00010442,0.000249339,0.00019889,0.000317533,0.000293724,0.000183747,0.000222349,4.3e-05,0.000233317,0.00017308,7.34e-05,0.000335897,0.000237692,0.000141484,0.000149646
1.8e-05,1.8e-05,1.8e-05,1.8e-05,0.000110811,7.04e-05,0.00016145,0.00024459,0.000114263,8.03e-05,0.000267325,0.000293437,0.000148055,6.3e-05,0.000118939,0.000109649,0.000205342,0.000109445,0.000131583,0.000149575,0.000104649,0.000114598,0.000124301,9.94e-05,9.85e-05,0.000201308,0.000136847,0.000151564,0.000118507,0.000252579,8.6e-05,0.000254063,6.77e-05,0.00012092,0.000135773,0.000132073,0.000112255,8.22e-05,0.00014092,0.000135083,0.000217857,0.000236726,0.000146986,0.000218191,2.87e-05,0.000142064,0.000110274,5.63e-05,0.000224523,0.000160938,0.000111552,0.000112541
1.62e-05,1.62e-05,1.62e-05,1.62e-05,7.58e-05,6.75e-05,9.91e-05,0.000171141,5.87e-05,5.44e-05,0.000172423,0.000192726,6.68e-05,4.27e-05,5.52e-05,4.32e-05,0.000129724,8.34e-05,0.000105383,0.000113685,8.46e-05,0.000122136,9.11e-05,0.000101906,0.000112192,0.000148424,0.000133181,0.000119835,7.75e-05,0.000134491,6.32e-05,0.000142706,7.26e-05,0.000113568,7.05e-05,0.000169947,0.000138027,8.64e-05,0.000139261,0.00011609,0.00023097,0.000223573,0.000179653,0.000165808,1.49e-05,0.000122724,8.79e-05,4.04e-05,0.000178542,0.000132318,8.32e-05,7.27e-05
9.36e-06,9.36e-06,9.36e-06,9.36e-06,5.33e-05,3.19e-05,4.82e-05,0.000144819,7.07e-05,3.54e-05,0.000107438,0.000122946,4.68e-05,2.86e-05,2.59e-05,3.41e-05,0.000188959,9.18e-05,0.000147717,0.000107407,7.33e-05,0.000113774,0.000101652,0.000108234,0.000109781,8.06e-05,8.83e-05,8.9e-05,6.39e-05,0.000110216,4.13e-05,7.16e-05,6.81e-05,0.000120772,8.41e-05,0.000144255,0.000110771,8.67e-05,0.000101854,9.13e-05,0.000172968,0.000165918,0.000131236,0.00012229,1.39e-05,7.66e-05,4.59e-05,3.12e-05,0.00011125,5.74e-05,4.12e-05,4.66e-05
5.53e-06,5.53e-06,5.53e-06,5.53e-06,3.14e-05,2.52e-05,3.37e-05,5.4e-05,9.39e-06,1.36e-05,3.3e-05,3.89e-05,3.34e-05,1.05e-05,1.81e-05,9.63e-06,0.000143787,9.38e-05,0.000123445,0.000133523,8.61e-05,8.4e-05,7.44e-05,7.92e-05,7.77e-05,5.61e-05,6.22e-05,8.11e-05,5.26e-05,0.000102071,4.45e-05,8.78e-05,5.55e-05,0.000107309,7.9e-05,9.33e-05,8.57e-05,6.05e-05,5.3e-05,6.58e-05,0.00010628,0.000114273,8.66e-05,8.09e-05,1.14e-05,4.2e-05,4.25e-05,1.68e-05,8.06e-05,8.48e-05,6.57e-05,4.69e-05
5.91e-06,5.91e-06,5.91e-06,5.91e-06,2.17e-05,2.72e-05,2.15e-05,4.05e-05,3.12e-06,4.46e-06,1.24e-05,2.16e-05,1.26e-05,1.01e-05,3.18e-06,9.92e-06,9.4e-05,6.23e-05,7.87e-05,9.66e-05,5.66e-05,6.64e-05,6.32e-05,6.61e-05,6.36e-05,3.46e-05,3.81e-05,4.03e-05,2.28e-05,6.26e-05,2.72e-05,3.77e-05,2.68e-05,7.4e-05,5.9e-05,5.63e-05,4.76e-05,3.92e-05,2.46e-05,2.35e-05,3.63e-05,6.88e-05,6.36e-05,6.09e-05,1.28e-05,3.57e-05,3.46e-05,1.91e-05,7.82e-05,3.68e-05,2.07e-05,4.51e-05
2.52e-06,2.52e-06,2.52e-06,2.52e-06,2.15e-05,1.27e-05,1.97e-05,2.18e-05,3.66e-06,6.89e-06,1.11e-05,3.1e-05,8.21e-06,1.04e-05,1.32e-05,1.52e-05,5.31e-05,2.85e-05,3.89e-05,5.37e-05,3.69e-05,5.69e-05,5.43e-05,4.64e-05,4.87e-05,3.72e-05,4.3e-05,6.12e-05,3.66e-05,5.63e-05,2.27e-05,4.55e-05,3.51e-05,5.31e-05,4.2e-05,7.6e-05,6.05e-05,4.92e-05,5.16e-05,7.4e-05,7.83e-05,6.86e-05,7.32e-05,7.06e-05,7.56e-06,7.01e-05,3.3e-05,1.78e-05,5.45e-05,3.5e-05,2.76e-05,2.56e-05
1.18e-05,1.18e-05,1.18e-05,1.18e-05,6.48e-05,6.69e-05,5.97e-05,0.000121298,3.02e-05,3.2e-05,0.000107251,8.27e-05,6.6e-05,3.77e-05,3.92e-05,3.62e-05,0.000127012,7.17e-05,0.000110496,7e-05,7.46e-05,0.000140733,0.000117821,0.000119257,0.00012332,0.000114452,0.000106863,9.47e-05,6.06e-05,0.000127751,4.91e-05,0.000131236,5.19e-05,9.07e-05,9.13e-05,0.00017176,0.000141814,0.000124543,0.000149188,0.000135679,0.000217106,0.000202467,0.000132536,0.000102369,2.06e-05,0.00016058,8.22e-05,5.09e-05,0.000160569,9.48e-05,6.9e-05,8.17e-05
1.74e-05,1.74e-05,1.74e-05,1.74e-05,0.000139886,8.48e-05,0.000147333,0.000188628,8.08e-05,5.65e-05,0.000233556,0.000225505,0.00010376,7.12e-05,9.37e-05,8.01e-05,0.000184403,9.37e-05,0.00010627,0.000120725,8.49e-05,0.000123733,0.000114779,0.000134641,0.000101743,0.000243231,0.000183976,0.000196266,0.000163721,0.000242157,7.66e-05,0.000231296,8.41e-05,0.000121541,0.000145182,0.000192266,0.000157043,0.000112198,0.00020084,0.000175967,0.000310251,0.000289368,0.000196702,0.000221027,3.88e-05,0.000231889,0.000146385,7.6e-05,0.000282226,0.000205384,0.000130862,0.000100444
2.64e-05,2.64e-05,2.64e-05,2.64e-05,0.00022513,0.000133055,0.000274588,0.000350963,0.000208463,0.000129126,0.000414154,0.000444854,0.000194215,9.09e-05,0.000153872,0.000126354,0.000272669,0.000119764,0.000199117,0.000185455,0.000125382,0.000195642,0.000167141,0.000144279,0.00017591,0.000305155,0.000295413,0.000250734,0.000210162,0.000557098,0.000139884,0.000535457,9.67e-05,0.000158285,0.000185092,0.000233918,0.000233748,0.000140469,0.000344497,0.000318911,0.000485983,0.000423644,0.000277463,0.000244815,7.1e-05,0.000346009,0.000255797,0.000140291,0.000466754,0.000330498,0.000237284,0.000181813
2.27e-05,2.27e-05,2.27e-05,2.27e-05,0.000190345,0.000102157,0.000234622,0.000453909,0.000234619,0.000164909,0.000502696,0.000518944,0.000265631,0.000129693,0.000174598,0.000169902,0.000276183,0.000162114,0.000254829,0.000225828,0.000159846,0.000178006,0.000196846,0.000161984,0.000175717,0.000282993,0.000244958,0.000249043,0.000177442,0.000487078,0.000108894,0.000550537,0.000108408,0.000163146,0.000185635,0.00019838,0.000144238,0.00012344,0.000266912,0.000224303,0.000314189,0.000337398,0.000247871,0.000323112,5.09e-05,0.000223402,0.000171518,8.7e-05,0.000351686,0.000251383,0.000200744,0.000167933
