0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
3.1e-05,0.00026248,0.000178507,0.000115164,3.1e-05,3.1e-05,3.1e-05,0.000161043,0.000297194,0.000258532,0.000318508,0.000281892,0.000290294,0.000286256,0.000387513,0.000282014,0.000346006,0.000370407,0.000440306,0.000423665,0.000369423,0.000172043,0.000316894,0.000444418,0.000303374,0.000258757,0.000313717,0.000397622,0.000457289,0.000337411,0.000481431,0.00043933,0.000502211,0.000605922,0.000326677,0.000445373,0.000366238,0.000257302,0.000424959,0.000435866,0.000464139,0.000407852,0.000438903,0.000345653,0.000479814,0.00039207,0.000297791,0.000253479,0.000280038,0.000367657,0.00039639,0.00029721,0.000281637,0.000189811,0.000352889,0.000196956,0.000313247,0.000301575,0.000216155,0.00043085,0.000420921,0.000219129,0.000336714,0.00031322,0.000323929,0.000286695,0.000362763,0.000171043,0.000182499,0.000285503,0.000356881,0.00033572,0.000260438,0.000314688,0.00024107,0.000235896,0.000152216,0.000205357,0.000157404,0.000381581,0.000435222,0.000349218,0.00032914,0.000208893,0.000327305,0.000347127,0.000295381,0.000246769,0.000329737,0.000313133,0.000344781,0.000311483,0.000370154,0.000454765,0.000362623,0.000380949
2.03e-05,0.000213192,0.000127672,7.16e-05,2.03e-05,2.03e-05,2.03e-05,0.000120757,0.000223481,0.000206365,0.000261658,0.000222905,0.000252787,0.000244239,0.000286429,0.000222113,0.000294036,0.000291157,0.00042076,0.000389524,0.000274042,0.000150887,0.000235736,0.000317941,0.0002329,0.000199301,0.000224339,0.000360097,0.00046062,0.000252684,0.00046653,0.000290419,0.000303987,0.000447192,0.000236358,0.00032572,0.000252793,0.000214692,0.000281271,0.00026376,0.000308181,0.000334858,0.00032401,0.000275605,0.000368362,0.000330323,0.000242431,0.000195211,0.000254606,0.00033444,0.000221504,0.000199791,0.000195866,0.000125869,0.000267256,0.000140751,0.00027833,0.00022408,0.000198341,0.000293507,0.00028535,0.000163318,0.000299974,0.00027192,0.000278959,0.000238277,0.000302388,0.000147313,0.000151406,0.000288366,0.000316254,0.000216438,0.000270647,0.000229296,0.000167548,0.000203889,0.000107046,0.000215561,0.000188143,0.000302113,0.000347082,0.000341476,0.000285649,0.000194809,0.000320086,0.000317575,0.000304003,0.000216186,0.000250148,0.000285129,0.000257276,0.000268279,0.000371876,0.00039655,0.000328766,0.000375617
2.28e-05,0.000217444,0.000152123,9.42e-05,2.28e-05,2.28e-05,2.28e-05,0.000138813,0.000241418,0.000205638,0.000316108,0.000244235,0.000288157,0.000256994,0.000324038,0.000227806,0.000321464,0.000309964,0.000456335,0.000410246,0.00034101,0.000158445,0.000234093,0.000288344,0.000219478,0.000176262,0.000199358,0.000254718,0.000326306,0.000217075,0.000339219,0.00036915,0.000311076,0.000436084,0.000224228,0.000344639,0.000318092,0.000239748,0.000361126,0.000338467,0.000307119,0.000320048,0.000338718,0.000212049,0.000357525,0.000281253,0.000229208,0.000251008,0.000240496,0.000304218,0.000304928,0.000199007,0.000256653,0.000146469,0.000263981,0.000167858,0.000314996,0.000232807,0.000170453,0.000299878,0.000307603,0.000209301,0.00032315,0.000256023,0.000251621,0.000234962,0.00036114,0.000131899,0.000152572,0.000339831,0.000368705,0.000230709,0.00026533,0.000243445,0.000135871,0.000166543,0.000120623,0.000199333,0.000142039,0.000298759,0.000335012,0.00024053,0.000281998,0.000188187,0.000225044,0.00027093,0.000315597,0.000205955,0.000272843,0.000307735,0.000240995,0.000285237,0.000328193,0.000341395,0.000326928,0.000260813
1.94e-05,0.000194139,0.000120215,8.31e-05,1.94e-05,1.94e-05,1.94e-05,0.000100372,0.000287919,0.000198472,0.000345731,0.000232153,0.000262721,0.000254991,0.000388373,0.00028196,0.000393882,0.000304965,0.000386129,0.000404133,0.000313716,0.000114363,0.000161829,0.000318192,0.000201926,0.000200319,0.000241429,0.000323232,0.000382811,0.000223738,0.000412911,0.000419504,0.00033701,0.000522953,0.000321323,0.000392039,0.000362538,0.000233462,0.000385651,0.000331824,0.00031062,0.000325865,0.000359141,0.000343511,0.000396401,0.000353214,0.000390354,0.000229455,0.000323021,0.000466476,0.000403339,0.000303456,0.000308712,0.000200014,0.000353605,0.000222353,0.000408228,0.000346413,0.000290527,0.000231909,0.000258137,0.0001614,0.000417655,0.000338877,0.000348493,0.00035346,0.000401769,0.000304754,0.000319106,0.000292195,0.000283951,0.000304132,0.00031008,0.000351233,0.000214403,0.000237302,0.000137791,0.000177448,0.000150704,0.000238796,0.000243065,0.00019911,0.00022635,0.000134842,0.00018666,0.000253625,0.000226696,0.00020425,0.00025737,0.000247385,0.00025089,0.000223869,0.000278483,0.000295546,0.000290367,0.000297346
2.88e-05,0.000267169,0.000172746,0.000112889,2.88e-05,2.88e-05,2.88e-05,0.000117951,0.000321586,0.000215504,0.000371568,0.000276714,0.000300323,0.000299343,0.000362456,0.000300393,0.00038039,0.000348887,0.000448576,0.000400914,0.000367622,0.000162579,0.000230367,0.000311613,0.000218456,0.000194558,0.000205393,0.000269824,0.000306685,0.000257773,0.000340398,0.000355458,0.000262493,0.000495464,0.00028763,0.000384114,0.000353905,0.000257296,0.000329468,0.000330724,0.000313284,0.000297428,0.000376701,0.000235169,0.000337396,0.000271469,0.000299142,0.000247759,0.000361153,0.000331249,0.000383243,0.000266049,0.000295652,0.000189281,0.000308124,0.000185185,0.000428838,0.000324322,0.000301495,0.000322313,0.000315504,0.000194893,0.000399845,0.000391174,0.000333917,0.000300557,0.00047003,0.000252209,0.00029837,0.000369536,0.000320324,0.00028568,0.000297018,0.000241073,0.000164777,0.000206119,0.000137854,0.000221483,0.000136807,0.000281813,0.000366687,0.000234355,0.000294513,0.000191099,0.000244893,0.000289749,0.000338826,0.00022926,0.0003098,0.000335024,0.000305281,0.000272273,0.000345026,0.000383591,0.0003391,0.000311477
2.33e-05,0.000222735,0.000143904,9.16e-05,2.33e-05,2.33e-05,2.33e-05,0.000121215,0.000223438,0.000186838,0.000281748,0.000200245,0.000220798,0.000215932,0.000356945,0.000231768,0.000345417,0.000382754,0.000393612,0.000360741,0.000354832,0.000161493,0.000226657,0.000267317,0.00019786,0.000192914,0.000123755,0.000171018,0.000198932,0.000168685,0.000214559,0.000318147,0.000255826,0.000421579,0.000260771,0.000289464,0.000332926,0.000200247,0.000326317,0.000274588,0.000219814,0.000211944,0.000287359,0.000261947,0.000227375,0.000221577,0.000233633,0.000198791,0.000339658,0.000326913,0.000364525,0.000210238,0.000235827,0.000154318,0.000419952,0.00024727,0.000373361,0.00025916,0.000349428,0.000228976,0.000292791,0.000214185,0.00036025,0.000245198,0.000246709,0.000259413,0.00030744,0.000210839,0.00022031,0.000299831,0.000286821,0.00024724,0.000275862,0.000184079,0.0001687,0.00013509,9.92e-05,8.45e-05,7.52e-05,0.000230941,0.000385157,0.000233981,0.000303938,0.000178115,0.000246318,0.000327495,0.000323568,0.000233201,0.000255144,0.000302581,0.000262524,0.00027784,0.000342117,0.000411254,0.000296411,0.000216359
2.77e-05,0.000264194,0.000148708,0.000110734,2.77e-05,2.77e-05,2.77e-05,0.000145064,0.000256321,0.000195033,0.000280672,0.000209296,0.00027933,0.000306939,0.0002922,0.00023403,0.000301672,0.000336161,0.000323179,0.000319041,0.00029939,0.000141353,0.000247127,0.000267177,0.000168698,0.000178662,0.00014448,0.000204899,0.000229961,0.00017935,0.000214219,0.000187065,0.000170694,0.000262158,0.000181052,0.000223055,0.00025048,0.000182126,0.000238849,0.000198174,0.000176449,0.000230206,0.000257898,0.000123601,0.000184438,0.000109684,0.000207568,0.000139221,0.000216176,0.000177898,0.000242093,0.000166817,0.000178947,0.000123447,0.000151743,9.69e-05,0.000312288,0.000202449,0.000216587,0.000215838,0.00025722,0.000189304,0.000300424,0.00025202,0.000203717,0.000178875,0.000283098,0.000230911,0.000204373,0.000264862,0.000277192,0.000169591,0.000185001,0.000106072,7.73e-05,8e-05,6.7e-05,3.53e-05,3.01e-05,0.00026292,0.000408146,0.000279448,0.000330269,0.000210281,0.000294136,0.000369641,0.000276542,0.000252466,0.000292471,0.000333139,0.000236121,0.000254783,0.000300523,0.000422539,0.000282631,0.00016989
2.28e-05,0.000215876,0.000117242,7.31e-05,2.28e-05,2.28e-05,2.28e-05,0.000105071,0.000215257,0.000169915,0.00024859,0.000173153,0.000211979,0.000205669,0.000300544,0.000220882,0.000310119,0.000266396,0.000359711,0.000352147,0.000339377,0.000157907,0.000210938,0.000218659,0.000165452,0.0001341,0.000143121,0.000226884,0.000256979,0.000184116,0.000289281,0.000263715,0.000216847,0.00033057,0.000224903,0.00025328,0.000224197,0.000192525,0.000260979,0.000226327,0.000212109,0.000169429,0.000258063,0.000147916,0.00022011,0.000166396,0.000199991,0.000156368,0.000233528,0.000219756,0.000258199,0.000175284,0.000203599,0.000119887,0.000207859,0.00012988,0.000341023,0.000188266,0.000200495,0.000242357,0.000218625,0.000154892,0.000305322,0.000209191,0.000197741,0.000181675,0.000336069,0.000217902,0.000204302,0.00028739,0.000249176,0.000169062,0.00018702,0.000146378,0.000113487,0.000110607,8.6e-05,9.6e-05,6.93e-05,0.000277486,0.000405805,0.000270536,0.000301522,0.000186874,0.000271636,0.000305533,0.000322299,0.000270917,0.000273137,0.000314318,0.000283346,0.000250135,0.000353015,0.000367803,0.000325274,0.000190696
2.14e-05,0.000211186,0.000127348,8.28e-05,2.14e-05,2.14e-05,2.14e-05,9.57e-05,0.000259175,0.000142645,0.000316188,0.000201286,0.000220186,0.000242555,0.000270596,0.000222175,0.000301898,0.000256169,0.000343536,0.000339237,0.000282527,0.000109362,0.000172915,0.000317502,0.000169794,0.000169892,0.00021977,0.000218694,0.000216847,0.00023053,0.000249184,0.000324638,0.000306506,0.000404255,0.000234431,0.000327388,0.000306702,0.000228699,0.000318648,0.000294968,0.000315414,0.000298253,0.000300712,0.000228066,0.000517295,0.000284908,0.000316742,0.000197072,0.000240796,0.0003548,0.00025113,0.000189042,0.000207755,0.00012913,0.000257606,0.000151526,0.000309523,0.000259147,0.000271644,0.000277896,0.000232629,0.000150836,0.000373084,0.000288421,0.000372522,0.00036478,0.000402557,0.000196166,0.000252571,0.000309958,0.00023156,0.00033803,0.000299252,0.000342654,0.000288206,0.000202398,0.000188735,0.000136094,0.000137584,0.000242357,0.000320713,0.00025397,0.000275071,0.000138953,0.000214595,0.000300998,0.000260357,0.000192229,0.000245883,0.000285767,0.000215327,0.000217173,0.000216806,0.000314769,0.000274081,0.000313802
2.91e-05,0.000249452,0.000207617,0.000123957,2.91e-05,2.91e-05,2.91e-05,0.000172038,0.000248921,0.000273271,0.000321589,0.000292474,0.000320359,0.000291512,0.000314391,0.000245151,0.000367069,0.000319287,0.00038083,0.00039082,0.000309356,0.000147184,0.000329136,0.000356234,0.000279536,0.000282677,0.000246535,0.000370146,0.000454511,0.00031171,0.00048699,0.000325022,0.000302988,0.000494589,0.00024951,0.000459382,0.000295807,0.000231515,0.000340615,0.000328871,0.00034748,0.000341028,0.000348676,0.000289176,0.000792992,0.000497058,0.000465483,0.000228276,0.000258489,0.000382865,0.000256417,0.000203651,0.000203962,0.00020075,0.000292568,0.000137459,0.000332492,0.000255124,0.000327959,0.0004041,0.000460506,0.000287482,0.000339638,0.000317258,0.000551875,0.000394882,0.000508001,0.000265079,0.000280811,0.000356973,0.000296095,0.000451228,0.000400534,0.000422374,0.000386024,0.000365719,0.000238012,0.000240937,0.000197566,0.000436501,0.000488644,0.000379236,0.000338165,0.000267383,0.000375137,0.000326998,0.000313557,0.000268265,0.000287898,0.000289263,0.00028807,0.000264318,0.000314657,0.000372809,0.00033568,0.00036243
2.74e-05,0.000271511,0.00017323,0.000113323,2.74e-05,2.74e-05,2.74e-05,0.000152552,0.000287201,0.000239953,0.000334745,0.000322415,0.000351413,0.000340814,0.000389239,0.000293668,0.000437725,0.000372766,0.000455179,0.000453985,0.00036935,0.000184174,0.000333142,0.000400751,0.000285658,0.000250391,0.000299254,0.000446284,0.000488232,0.000334271,0.000575457,0.000459953,0.000538713,0.000727815,0.000375005,0.000579981,0.000404691,0.00029405,0.000430228,0.000474723,0.000454081,0.000443916,0.00042371,0.00033126,0.000515234,0.000460176,0.000476298,0.000313661,0.000389021,0.000377898,0.000411457,0.000343097,0.00028477,0.000235922,0.000430118,0.000174122,0.00040126,0.000330629,0.00034503,0.000474719,0.000410937,0.000245281,0.000398104,0.000414222,0.000597901,0.00055534,0.000578733,0.000360911,0.000388817,0.000410121,0.000367449,0.000507522,0.000514578,0.000520481,0.000394662,0.000363529,0.000282717,0.000388215,0.000255926,0.000412785,0.000471149,0.000347016,0.000310566,0.000201016,0.000341139,0.000305109,0.00033626,0.000237203,0.000332056,0.000340276,0.000311317,0.00024796,0.000368576,0.000405661,0.000344298,0.000430759
2.93e-05,0.000270638,0.000194667,0.000109568,2.93e-05,2.93e-05,2.93e-05,0.000176684,0.000308761,0.000245155,0.00039,0.000289309,0.000319189,0.00031398,0.000411537,0.000285903,0.000338022,0.000403492,0.00047529,0.000439935,0.000362127,0.000183318,0.000352926,0.000315099,0.000288523,0.000225309,0.000259309,0.000378452,0.000440662,0.000290147,0.000497568,0.000432115,0.000403243,0.0003973,0.000293055,0.000340084,0.000378731,0.000286227,0.000462289,0.000448299,0.000365187,0.000325068,0.000438769,0.000249863,0.000383247,0.000368294,0.000356509,0.000179022,0.00021787,0.000355996,0.000242952,0.000153042,0.000263231,0.000169568,0.000246198,0.000157296,0.000325185,0.000305059,0.000235356,0.000443927,0.000380812,0.000285839,0.000394144,0.000306061,0.000283036,0.000292258,0.000345598,0.000199137,0.00018118,0.000388512,0.000394111,0.000272406,0.000305485,0.000318878,0.000259281,0.000262364,0.000157645,0.000247515,0.000184404,0.000463766,0.00063907,0.000389435,0.0004509,0.000263993,0.000385824,0.000395563,0.000387194,0.000417577,0.000387771,0.000430109,0.000394065,0.000380249,0.00050792,0.000542249,0.000474674,0.000389271
