0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
6.5e-05,0.000199409,6.97e-05,6.61e-05,0.000201356,9.48e-05,0.000194358,0.000155656,0.000196067,0.000141419,0.000129702,0.000101124,5.97e-05,6.97e-05,6.56e-05,3.32e-05,0.000167008,6.06e-05,6.06e-05,5.97e-05,9.33e-05,9.18e-05,0.000158771,7.75e-05,0.000183464,0.00011802,0.000126555,9.48e-05,0.000144509,0.000108907,8.21e-05,5.82e-05,0.00012328,6.28e-05,6.54e-05,0.000180339,0.000132495,0.000129719,0.000133029,9.53e-05
5e-05,0.000167021,5.57e-05,5.35e-05,0.00015938,7.89e-05,0.000148112,0.000132993,0.000160506,0.000128227,0.000103004,6.25e-05,4.28e-05,5.01e-05,4.61e-05,2.21e-05,0.000133458,4.54e-05,4.54e-05,4.28e-05,6.53e-05,7.25e-05,0.000114113,6.33e-05,0.000131992,8.62e-05,9.15e-05,7.89e-05,0.000125143,9.82e-05,7.77e-05,5.25e-05,9.46e-05,5e-05,5.03e-05,0.000143754,0.000107664,0.000102566,0.000104216,7.13e-05
4.57e-05,0.000139921,4.92e-05,5.12e-05,0.000142647,6.57e-05,0.00012233,0.000103422,0.000136883,0.000108039,0.000111183,6.98e-05,4.64e-05,5.02e-05,4.88e-05,1.91e-05,0.000125392,4.19e-05,4.19e-05,4.64e-05,5.47e-05,7.06e-05,0.000110071,6.85e-05,0.000133139,6.88e-05,7.44e-05,6.57e-05,8.84e-05,8.84e-05,6.88e-05,5.22e-05,8.39e-05,4.8e-05,4.67e-05,0.000138542,0.000106639,7.12e-05,9.17e-05,6.39e-05
3.54e-05,0.000108028,3.4e-05,3.23e-05,0.0001,5.43e-05,8.5e-05,8.94e-05,0.000121862,8.8e-05,6.5e-05,5.83e-05,3.88e-05,4.13e-05,4.08e-05,1.64e-05,9.67e-05,3.37e-05,3.37e-05,3.88e-05,5.61e-05,5.35e-05,8.59e-05,5.43e-05,0.000116602,7.54e-05,7.57e-05,5.43e-05,8.91e-05,6.73e-05,4.99e-05,4.16e-05,7.13e-05,3.5e-05,3.69e-05,9.16e-05,7.15e-05,6.87e-05,6.78e-05,5.1e-05
5.44e-05,0.000141425,5.31e-05,5.7e-05,0.000163009,7.48e-05,0.0001778,0.000130841,0.000154889,0.000132737,9.87e-05,7.5e-05,4.57e-05,4.88e-05,4.71e-05,2.31e-05,0.000121448,4.79e-05,4.79e-05,4.57e-05,6.73e-05,7.43e-05,0.000120111,6.5e-05,0.000138063,0.000102061,0.000106367,7.48e-05,0.000122805,0.000109533,7.37e-05,4.77e-05,8.38e-05,4.64e-05,4.76e-05,0.000123603,0.000109982,0.000111668,8.8e-05,7.57e-05
6.03e-05,0.000189044,5.74e-05,6.26e-05,0.000199367,9.54e-05,0.000181848,0.000160391,0.000176665,0.000149531,0.000119043,8.68e-05,6.32e-05,5.7e-05,6.45e-05,2.91e-05,0.000155312,5.59e-05,5.59e-05,6.32e-05,8.22e-05,9.3e-05,0.000140942,8.51e-05,0.000173374,0.000117725,0.000127443,9.54e-05,0.00016243,0.00013014,0.000100279,6.77e-05,0.000112914,5.33e-05,5.4e-05,0.000138732,0.000117234,0.000123572,9.63e-05,9.91e-05
7.04e-05,0.000194635,6.76e-05,6.4e-05,0.000179622,8.71e-05,0.000173594,0.000146823,0.000183159,0.000166094,0.000133917,0.000105099,6.88e-05,5.99e-05,6.72e-05,3.25e-05,0.000170843,6.61e-05,6.61e-05,6.88e-05,9.59e-05,9.46e-05,0.000152973,9.13e-05,0.000179278,0.000114514,0.000118347,8.71e-05,0.000143691,0.00012297,8.64e-05,7.14e-05,0.000126072,6.4e-05,6.82e-05,0.000168424,0.000135371,0.000132166,0.000139544,0.000105073
6.48e-05,0.000226259,7.43e-05,7.24e-05,0.000221318,0.000103991,0.000224106,0.000176857,0.000248911,0.000178604,0.000151366,0.000132325,8.35e-05,6.96e-05,7.86e-05,3.34e-05,0.000220148,8.4e-05,8.4e-05,8.35e-05,8.81e-05,0.000126938,0.000175853,0.000102933,0.000206647,0.000149889,0.000139004,0.000103991,0.000179835,0.000138979,9.56e-05,6.8e-05,0.000126433,6.76e-05,6.82e-05,0.000188424,0.000148146,0.00012692,0.000128493,0.000100334
7.08e-05,0.000202786,7.51e-05,6.64e-05,0.000198584,9.77e-05,0.00022141,0.000185436,0.00022341,0.00015694,0.000170146,0.000116523,8.18e-05,8.08e-05,7.57e-05,4.06e-05,0.00019358,8.41e-05,8.41e-05,8.18e-05,9.76e-05,0.000118596,0.00016382,9.34e-05,0.000209335,0.000127512,0.000130864,9.77e-05,0.000192287,0.000142763,0.000117355,7.73e-05,0.000132864,6.59e-05,6.66e-05,0.000192912,0.000158962,0.000142104,0.000135105,0.000101696
9.33e-05,0.000158879,6.02e-05,6.27e-05,0.000185142,9.49e-05,0.000179689,0.00014771,0.000227917,0.000167271,0.000150216,0.000123767,8.18e-05,8.71e-05,8.03e-05,4.61e-05,0.000198776,7.5e-05,7.5e-05,8.18e-05,9.75e-05,0.000117085,0.000188904,0.000103421,0.000240641,0.000126008,0.000130011,9.49e-05,0.000146001,0.000113463,8.36e-05,6.59e-05,0.000111235,5.63e-05,5.27e-05,0.000198523,0.000150301,0.000123397,0.000112233,0.00013091
6.24e-05,0.000142715,4.73e-05,4.75e-05,0.000163234,7.49e-05,0.000148199,0.000127531,0.000200667,0.000143977,0.000149821,0.000106315,7.34e-05,7.27e-05,6.79e-05,3.65e-05,0.000176391,6.73e-05,6.73e-05,7.34e-05,9.13e-05,0.000100334,0.000160266,0.000101776,0.000217633,0.000123444,0.000113544,7.49e-05,0.000134631,9.79e-05,7.68e-05,4.93e-05,0.000115425,5.24e-05,6.7e-05,0.000186126,0.000138493,0.000131553,0.00011931,8.58e-05
7.53e-05,0.000233239,8.01e-05,7.25e-05,0.000233007,0.000111749,0.00022583,0.000194635,0.000261273,0.000203748,0.000162304,0.000125281,8.03e-05,8.39e-05,8.19e-05,4.25e-05,0.000205538,7.46e-05,7.46e-05,8.03e-05,0.000110106,0.000118501,0.000194177,0.00011661,0.000229632,0.000147007,0.000152048,0.000111749,0.000187304,0.000142564,0.000102888,6.77e-05,0.000142149,7.18e-05,7.44e-05,0.000226691,0.000160182,0.000157967,0.000148413,0.000100032
